01,PLN/MWh,111.57,MWh,3465.80
12,PLN/MWh,92.30,MWh,3766.00
23,PLN/MWh,87.36,MWh,4068.90
34,PLN/MWh,86.54,MWh,4213.90
45,PLN/MWh,87.14,MWh,4118.20
56,PLN/MWh,90.50,MWh,3880.00
67,PLN/MWh,93.89,MWh,3571.10
78,PLN/MWh,111.94,MWh,3307.40
89,PLN/MWh,115.53,MWh,2914.00
910,PLN/MWh,122.20,MWh,2852.30
1011,PLN/MWh,137.96,MWh,3101.00
1112,PLN/MWh,137.00,MWh,3223.50
1213,PLN/MWh,137.43,MWh,3240.10
1314,PLN/MWh,136.99,MWh,3203.30
1415,PLN/MWh,136.99,MWh,3242.20
1516,PLN/MWh,137.29,MWh,3259.90
1617,PLN/MWh,143.88,MWh,3365.10
1718,PLN/MWh,147.23,MWh,3394.10
1819,PLN/MWh,147.32,MWh,3436.50
1920,PLN/MWh,147.42,MWh,3482.00
2021,PLN/MWh,144.09,MWh,3393.40
2122,PLN/MWh,138.79,MWh,3542.10
2223,PLN/MWh,133.76,MWh,3087.80
2324,PLN/MWh,117.85,MWh,2922.30
01,PLN/MWh,111.80,MWh,3088.60
12,PLN/MWh,98.05,MWh,3444.90
23,PLN/MWh,87.95,MWh,3631.60
34,PLN/MWh,87.70,MWh,3600.20
45,PLN/MWh,91.01,MWh,3544.00
56,PLN/MWh,112.71,MWh,3141.40
67,PLN/MWh,133.86,MWh,2640.80
78,PLN/MWh,142.64,MWh,2723.20
89,PLN/MWh,142.20,MWh,2669.20
910,PLN/MWh,145.17,MWh,2537.00
1011,PLN/MWh,148.22,MWh,2449.10
1112,PLN/MWh,155.88,MWh,2326.20
1213,PLN/MWh,158.53,MWh,2327.40
1314,PLN/MWh,159.67,MWh,2317.50
1415,PLN/MWh,158.55,MWh,2286.90
1516,PLN/MWh,156.76,MWh,2229.00
1617,PLN/MWh,180.12,MWh,2763.00
1718,PLN/MWh,182.71,MWh,2768.50
1819,PLN/MWh,176.26,MWh,2663.60
1920,PLN/MWh,171.58,MWh,2634.00
2021,PLN/MWh,163.91,MWh,2298.40
2122,PLN/MWh,142.50,MWh,2175.90
2223,PLN/MWh,143.14,MWh,3344.10
2324,PLN/MWh,133.79,MWh,2710.40
01,PLN/MWh,136.11,MWh,2481.70
12,PLN/MWh,130.05,MWh,2389.40
23,PLN/MWh,126.89,MWh,2317.20
34,PLN/MWh,127.35,MWh,2302.40
45,PLN/MWh,131.09,MWh,2491.70
56,PLN/MWh,139.90,MWh,3024.30
67,PLN/MWh,155.66,MWh,3151.20
78,PLN/MWh,178.90,MWh,2527.90
89,PLN/MWh,185.54,MWh,2990.80
910,PLN/MWh,188.41,MWh,3300.10
1011,PLN/MWh,188.51,MWh,3411.90
1112,PLN/MWh,193.00,MWh,3553.90
1213,PLN/MWh,193.68,MWh,3570.90
1314,PLN/MWh,199.01,MWh,3628.20
1415,PLN/MWh,193.40,MWh,3478.90
1516,PLN/MWh,192.92,MWh,3482.50
1617,PLN/MWh,212.77,MWh,3929.90
1718,PLN/MWh,213.51,MWh,3907.30
1819,PLN/MWh,207.73,MWh,3918.60
1920,PLN/MWh,205.46,MWh,3881.40
2021,PLN/MWh,189.99,MWh,3533.30
2122,PLN/MWh,178.34,MWh,2749.70
2223,PLN/MWh,156.52,MWh,4082.10
2324,PLN/MWh,143.29,MWh,3417.50
01,PLN/MWh,143.00,MWh,2642.80
12,PLN/MWh,140.49,MWh,2786.80
23,PLN/MWh,136.62,MWh,2809.50
34,PLN/MWh,136.18,MWh,2782.90
45,PLN/MWh,136.34,MWh,2845.50
56,PLN/MWh,135.63,MWh,2823.80
67,PLN/MWh,131.61,MWh,2592.70
78,PLN/MWh,142.36,MWh,2704.30
89,PLN/MWh,143.39,MWh,2537.30
910,PLN/MWh,153.18,MWh,2703.60
1011,PLN/MWh,155.23,MWh,3133.10
1112,PLN/MWh,156.26,MWh,3397.80
1213,PLN/MWh,156.08,MWh,3510.90
1314,PLN/MWh,155.87,MWh,3372.30
1415,PLN/MWh,153.99,MWh,3122.60
1516,PLN/MWh,153.80,MWh,3142.90
1617,PLN/MWh,169.10,MWh,3663.50
1718,PLN/MWh,177.96,MWh,4160.50
1819,PLN/MWh,179.74,MWh,4209.50
1920,PLN/MWh,176.94,MWh,4281.70
2021,PLN/MWh,171.67,MWh,3835.40
2122,PLN/MWh,155.73,MWh,3217.00
2223,PLN/MWh,151.20,MWh,2820.30
2324,PLN/MWh,142.21,MWh,2767.20
01,PLN/MWh,147.30,MWh,3128.80
12,PLN/MWh,146.88,MWh,3066.20
23,PLN/MWh,145.16,MWh,3163.30
34,PLN/MWh,145.07,MWh,3096.10
45,PLN/MWh,146.16,MWh,3148.20
56,PLN/MWh,150.92,MWh,3511.00
67,PLN/MWh,155.77,MWh,3538.80
78,PLN/MWh,197.13,MWh,3161.40
89,PLN/MWh,218.59,MWh,3492.60
910,PLN/MWh,220.79,MWh,3635.20
1011,PLN/MWh,224.30,MWh,3545.40
1112,PLN/MWh,230.87,MWh,3843.00
1213,PLN/MWh,233.49,MWh,3948.30
1314,PLN/MWh,244.17,MWh,4077.80
